MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10932,82251,0,12,140
70:ee:50:57:95:29,74,24874,0,0,29332
54:af:97:bb:8d:8f,8,6836,0,0,0
70:09:71:9d:ad:10,44,4766,0,48,424
00:16:6c:d7:d5:f9,28,5796,1422,0,80612
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,140,7010,0,69096,0
10:5a:17:b8:9f:70,710,10742,0,69084,0
fc:67:1f:53:fa:6e,0,496,0,120,0
1c:90:ff:bf:89:46,16,466,0,120,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,10,7750,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,10,134,0,24,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,4,68,0,12,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,18,5788,0,952,0
84:69:93:27:ad:35,92,22730,0,1744,96
18:48:be:31:4b:49,8152,75338,18248,288,6544
74:d4:23:32:a2:d7,8372,76250,1390,288,6504
6e:fe:2f:5a:d7:7e,12,9520,0,8,0
90:48:6c:08:da:8a,0,0,0,0,0
