MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10860,80235,0,8,184
70:ee:50:57:95:29,74,43064,0,0,32572
54:af:97:bb:8d:8f,8,6958,32,0,0
70:09:71:9d:ad:10,46,560,0,40,200
00:16:6c:d7:d5:f9,36,5930,1522,0,80604
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,138,7030,0,69076,0
10:5a:17:b8:9f:70,594,10036,0,69072,0
fc:67:1f:53:fa:6e,0,1582,0,340,0
1c:90:ff:bf:89:46,78,1672,0,420,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,22,7832,0,0,352
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,12,220,0,36,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,6,68,0,12,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,18,5788,0,952,0
84:69:93:27:ad:35,100,22548,524,952,184
18:48:be:31:4b:49,8430,90218,17810,0,5976
74:d4:23:32:a2:d7,8330,139891,1706,312,7100
6e:fe:2f:5a:d7:7e,0,0,0,0,0
90:48:6c:08:da:8a,0,0,0,0,0
