MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10881,81255,0,12,196
70:ee:50:57:95:29,70,27312,0,0,29972
54:af:97:bb:8d:8f,8,6806,0,0,0
70:09:71:9d:ad:10,38,4722,0,52,408
00:16:6c:d7:d5:f9,28,5792,1538,0,80612
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,136,7064,0,69088,0
10:5a:17:b8:9f:70,750,11506,0,69072,0
fc:67:1f:53:fa:6e,0,84,0,24,0
1c:90:ff:bf:89:46,4,234,0,56,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,14,7516,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,4,68,0,8,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,0,0,0,0,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,20,5842,0,952,0
84:69:93:27:ad:35,232,23016,0,1728,508
18:48:be:31:4b:49,8112,74398,18544,288,6840
74:d4:23:32:a2:d7,8184,87980,1744,288,7304
6e:fe:2f:5a:d7:7e,22,8744,0,0,0
90:48:6c:08:da:8a,0,0,0,0,0
