MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10911,81372,0,8,164
70:ee:50:57:95:29,70,19166,0,0,29248
54:af:97:bb:8d:8f,8,6792,0,0,0
70:09:71:9d:ad:10,52,4874,42,40,212
00:16:6c:d7:d5:f9,28,5790,1508,0,80584
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,132,7032,0,69084,0
10:5a:17:b8:9f:70,794,11706,0,69072,0
fc:67:1f:53:fa:6e,0,96,0,24,0
1c:90:ff:bf:89:46,0,84,0,24,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,14,7502,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,4,66,0,12,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,0,0,0,0,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,88,5984,0,960,0
84:69:93:27:ad:35,130,22772,0,1744,104
18:48:be:31:4b:49,8010,72816,18272,288,6172
74:d4:23:32:a2:d7,8060,65828,1450,288,6516
6e:fe:2f:5a:d7:7e,8,12502,0,0,0
90:48:6c:08:da:8a,0,0,0,0,0
