MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,7200,68814,376760,240,1540
68:3a:48:0d:d4:1c,0,0,0,0,0
70:ee:50:57:95:29,0,0,0,0,0
54:af:97:bb:8d:8f,12,8968,0,0,0
70:09:71:9d:ad:10,8,4436,0,35,450
00:16:6c:d7:d5:f9,0,0,0,0,0
40:ac:bf:29:04:d4,8,78734,0,0,13480
10:5a:17:b8:a2:0b,184,7104,0,86360,0
10:5a:17:b8:9f:70,0,0,0,0,0
fc:67:1f:53:fa:6e,0,0,0,0,0
1c:90:ff:bf:89:46,0,0,0,0,0
cc:a7:c1:6a:b5:78,8,300,0,15,0
70:ee:50:96:bb:dc,12,7712,0,0,0
00:24:e4:e3:15:6e,4,66,0,15,0
00:24:e4:e4:55:26,0,0,0,0,0
00:24:e4:f6:91:38,6,48,0,15,0
00:24:e4:f7:ee:ac,0,0,0,0,0
70:3a:2d:4a:48:e2,222,42902,0,3130,0
b0:02:47:6f:63:37,0,0,0,0,0
84:69:93:27:ad:35,0,0,0,0,0
18:48:be:31:4b:49,8032,68970,395054,0,7395
74:d4:23:32:a2:d7,0,0,0,0,0
6e:fe:2f:5a:d7:7e,0,0,0,0,0
90:48:6c:08:da:8a,16,12698,0,0,15
