MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10914,80364,0,12,188
70:ee:50:57:95:29,68,41506,0,0,33980
54:af:97:bb:8d:8f,8,6918,0,0,0
70:09:71:9d:ad:10,0,0,0,0,0
00:16:6c:d7:d5:f9,28,6374,1602,0,80612
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,130,7010,0,69080,0
10:5a:17:b8:9f:70,586,9880,0,69068,0
fc:67:1f:53:fa:6e,0,780,0,168,0
1c:90:ff:bf:89:46,48,936,0,236,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,10,7752,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,8,214,0,32,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,12,176,0,40,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,18,5816,0,948,0
84:69:93:27:ad:35,148,22496,0,948,100
18:48:be:31:4b:49,8314,113298,18214,288,6460
74:d4:23:32:a2:d7,8046,81210,1562,288,6520
6e:fe:2f:5a:d7:7e,0,0,0,0,0
90:48:6c:08:da:8a,0,0,0,0,0
