MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10947,80439,0,8,164
70:ee:50:57:95:29,72,19240,0,0,31872
54:af:97:bb:8d:8f,8,6858,0,0,0
70:09:71:9d:ad:10,0,0,0,0,0
00:16:6c:d7:d5:f9,28,5796,1494,0,80584
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,132,7002,0,69096,0
10:5a:17:b8:9f:70,572,9912,0,69084,0
fc:67:1f:53:fa:6e,0,88,0,24,0
1c:90:ff:bf:89:46,0,84,0,24,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,12,7752,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,4,68,0,12,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,0,0,0,0,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,18,5776,0,952,0
84:69:93:27:ad:35,162,22662,0,952,104
18:48:be:31:4b:49,8322,116688,18092,264,6348
74:d4:23:32:a2:d7,8228,62886,1376,288,6272
6e:fe:2f:5a:d7:7e,0,0,0,0,0
90:48:6c:08:da:8a,0,0,0,0,0
