MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10911,81639,0,12,184
70:ee:50:57:95:29,64,29118,0,0,30248
54:af:97:bb:8d:8f,8,6864,0,0,0
70:09:71:9d:ad:10,24,4536,0,40,204
00:16:6c:d7:d5:f9,28,5796,1540,0,80540
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,134,7026,0,69072,0
10:5a:17:b8:9f:70,724,11384,0,69072,0
fc:67:1f:53:fa:6e,0,904,0,196,0
1c:90:ff:bf:89:46,44,1190,0,288,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,14,7500,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,18,272,0,48,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,6,106,0,20,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,18,5788,0,952,0
84:69:93:27:ad:35,166,22690,0,1736,104
18:48:be:31:4b:49,8148,105680,18342,288,8164
74:d4:23:32:a2:d7,8132,126864,1612,288,6972
6e:fe:2f:5a:d7:7e,272,10972,0,8,0
90:48:6c:08:da:8a,0,0,0,0,0
