MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,0,0,0,0,0
70:ee:50:57:95:29,80,63854,0,0,17260
54:af:97:bb:8d:8f,12,9188,60,0,0
70:09:71:9d:ad:10,2314,103419,1096,5452,23352
00:16:6c:d7:d5:f9,2118,6304,746,112,79016
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,486,8996,0,69032,0
10:5a:17:b8:9f:70,8,6976,0,69032,0
fc:67:1f:53:fa:6e,120,2708,0,648,0
1c:90:ff:bf:89:46,66,3768,0,800,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,12,7804,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,0,0,0,0,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,0,0,0,0,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,80,6070,0,952,0
84:69:93:27:ad:35,126,21638,1050,912,724
18:48:be:31:4b:49,7924,70734,16442,0,6276
74:d4:23:32:a2:d7,0,0,0,0,0
6e:fe:2f:5a:d7:7e,0,0,0,0,0
90:48:6c:08:da:8a,18,84847,12,0,12
