MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,4516,52454,29172,144,5708
68:3a:48:0d:d4:1c,0,0,0,0,0
70:ee:50:57:95:29,72,19422,0,0,17176
54:af:97:bb:8d:8f,12,8778,0,0,0
70:09:71:9d:ad:10,90,3256,0,40,208
00:16:6c:d7:d5:f9,30,5792,1130,0,80556
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,664,10026,0,69092,0
10:5a:17:b8:9f:70,8,7030,0,69056,0
fc:67:1f:53:fa:6e,4,204,0,48,0
1c:90:ff:bf:89:46,0,538,0,96,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,10,7910,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,0,0,0,0,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,0,0,0,0,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,18,5854,0,952,0
84:69:93:27:ad:35,114,22826,0,1924,68
18:48:be:31:4b:49,7830,69534,51144,0,5952
74:d4:23:32:a2:d7,0,0,0,0,0
6e:fe:2f:5a:d7:7e,0,0,0,0,0
90:48:6c:08:da:8a,16,9016,18,0,12
