MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10926,82161,0,8,164
70:ee:50:57:95:29,72,18992,0,0,29392
54:af:97:bb:8d:8f,8,6794,0,0,0
70:09:71:9d:ad:10,34,4632,0,56,392
00:16:6c:d7:d5:f9,28,5796,1500,0,80612
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,134,7010,0,69088,0
10:5a:17:b8:9f:70,642,10290,0,69084,0
fc:67:1f:53:fa:6e,0,86,0,24,0
1c:90:ff:bf:89:46,8,176,0,48,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,20,7858,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,4,66,0,12,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,0,0,0,0,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,30,5952,0,960,0
84:69:93:27:ad:35,114,22816,0,1744,100
18:48:be:31:4b:49,8124,73862,18178,288,6476
74:d4:23:32:a2:d7,8190,84476,1426,296,6584
6e:fe:2f:5a:d7:7e,8,12500,0,0,0
90:48:6c:08:da:8a,0,0,0,0,0
