MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10926,81615,0,8,164
70:ee:50:57:95:29,68,18988,0,0,29752
54:af:97:bb:8d:8f,8,6798,0,0,0
70:09:71:9d:ad:10,24,4512,0,40,204
00:16:6c:d7:d5:f9,28,5818,1518,0,80612
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,144,7012,0,69092,0
10:5a:17:b8:9f:70,740,11382,0,69088,0
fc:67:1f:53:fa:6e,0,84,0,24,0
1c:90:ff:bf:89:46,8,208,0,48,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,14,7508,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,6,68,0,12,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,0,0,0,0,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,42,5878,0,960,0
84:69:93:27:ad:35,164,22826,0,1736,96
18:48:be:31:4b:49,8264,76220,18218,288,6216
74:d4:23:32:a2:d7,7932,62800,1408,288,6084
6e:fe:2f:5a:d7:7e,2,2114,0,0,0
90:48:6c:08:da:8a,0,0,0,0,0
