MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10917,81510,0,8,164
70:ee:50:57:95:29,68,42094,0,0,29756
54:af:97:bb:8d:8f,8,6822,0,0,0
70:09:71:9d:ad:10,440,17126,0,112,552
00:16:6c:d7:d5:f9,28,5796,1460,0,80612
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,134,7054,0,69092,0
10:5a:17:b8:9f:70,750,11522,0,69088,0
fc:67:1f:53:fa:6e,0,444,0,100,0
1c:90:ff:bf:89:46,28,612,0,148,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,12,7490,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,8,148,0,24,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,6,70,0,12,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,38,5856,0,952,0
84:69:93:27:ad:35,200,22886,0,1940,100
18:48:be:31:4b:49,8052,75038,18258,288,6636
74:d4:23:32:a2:d7,8140,70200,1408,288,6564
6e:fe:2f:5a:d7:7e,166,6538,0,4,0
90:48:6c:08:da:8a,0,0,0,0,0
