MAC_Address,Gateway,External,Other Local IP,Broadcast,Multicast
40:f6:bc:bc:89:7b,0,0,0,0,0
68:3a:48:0d:d4:1c,10923,82116,0,8,152
70:ee:50:57:95:29,64,19022,0,0,29024
54:af:97:bb:8d:8f,10,6822,0,0,0
70:09:71:9d:ad:10,124,5770,0,60,400
00:16:6c:d7:d5:f9,30,5798,1544,0,80612
40:ac:bf:29:04:d4,0,0,0,0,0
10:5a:17:b8:a2:0b,136,7014,0,69096,0
10:5a:17:b8:9f:70,644,10464,0,69080,0
fc:67:1f:53:fa:6e,0,90,0,24,0
1c:90:ff:bf:89:46,0,90,0,24,0
cc:a7:c1:6a:b5:78,0,0,0,0,0
70:ee:50:96:bb:dc,14,7796,0,0,0
00:24:e4:e3:15:6e,0,0,0,0,0
00:24:e4:e4:55:26,4,66,0,12,0
00:24:e4:f6:91:38,0,0,0,0,0
00:24:e4:f7:ee:ac,0,0,0,0,0
70:3a:2d:4a:48:e2,0,0,0,0,0
b0:02:47:6f:63:37,18,5830,0,952,0
84:69:93:27:ad:35,148,22780,0,1932,104
18:48:be:31:4b:49,8084,74180,18114,312,6504
74:d4:23:32:a2:d7,8202,74922,1404,288,6328
6e:fe:2f:5a:d7:7e,502,15096,0,20,0
90:48:6c:08:da:8a,0,0,0,0,0
